module	name	kind	parent_if_visible	line	file
Board.View.BoardPrompt	BoardPromptStoreItem	prototype	BoardPrompt	503	code/Lua/decompiled/Board/View/BoardPrompt.lua
Board.View.BoardPrompt	BoardPromptFinishOrder	prototype	BoardPrompt	584	code/Lua/decompiled/Board/View/BoardPrompt.lua
Board.View.BoardPrompt	BoardPromptBuildButton	prototype	BoardPrompt	648	code/Lua/decompiled/Board/View/BoardPrompt.lua
Board.View.BoardPrompt	BoardPormptPopCache	prototype	BoardPrompt	681	code/Lua/decompiled/Board/View/BoardPrompt.lua
Board.View.BoardPrompt	BoardPromptCollectAll	prototype	BoardPrompt	699	code/Lua/decompiled/Board/View/BoardPrompt.lua
Board.View.BoardPrompt	BoardPromptSwallowItems	prototype	BoardPrompt	726	code/Lua/decompiled/Board/View/BoardPrompt.lua
Board.View.BoardPrompt	BoardPromptMaxLevelResources	prototype	BoardPrompt	863	code/Lua/decompiled/Board/View/BoardPrompt.lua
Board.View.BoardPrompt	BoardPromptTapSpreadCrucible	prototype	BoardPrompt	970	code/Lua/decompiled/Board/View/BoardPrompt.lua
Board.View.BoardPrompt	BoardPromptSunshineOrderBoost	prototype	BoardPrompt	1011	code/Lua/decompiled/Board/View/BoardPrompt.lua
Board.View.MainBoardView	MainBoardView	prototype	BaseSceneBoardView	1	code/Lua/decompiled/Board/View/MainBoardView.lua
BoxItem.Model.BoxItemDefinition	EBoxItemType	table_or_enum_candidate		1	code/Lua/decompiled/BoxItem/Model/BoxItemDefinition.lua
BoxItem.Model.BoxItemDefinition	BoxItemDetailWindow	table_or_enum_candidate		2	code/Lua/decompiled/BoxItem/Model/BoxItemDefinition.lua
BoxItem.Model.BoxItemModel	BoxItemModel	table_or_enum_candidate		1	code/Lua/decompiled/BoxItem/Model/BoxItemModel.lua
BoxItem.Model.RandomBoxData	RandomBoxData	table_or_enum_candidate		1	code/Lua/decompiled/BoxItem/Model/RandomBoxData.lua
CloudsDash.Board.CloudsDashHuntBoardModel	CloudsDashHuntBoardModel	prototype	BaseUIBoardModel	1	code/Lua/decompiled/CloudsDash/Board/CloudsDashHuntBoardModel.lua
CloudsDash.Board.CloudsDashHuntBoardView	CloudsDashHuntBoardView	prototype	BaseUIBoardView	1	code/Lua/decompiled/CloudsDash/Board/CloudsDashHuntBoardView.lua
CloudsDash.Board.CloudsDashItemLayerModel	CloudsDashItemLayerModel	prototype	BaseUIBoardItemLayerModel	1	code/Lua/decompiled/CloudsDash/Board/CloudsDashItemLayerModel.lua
CloudsDash.Model.CloudsDashModel	CloudsDashModel	prototype	BaseActivityModel	1	code/Lua/decompiled/CloudsDash/Model/CloudsDashModel.lua
CloudsDash.Model.CloudsDashModel	CloudsDashLevelDataGroup	table_or_enum_candidate		645	code/Lua/decompiled/CloudsDash/Model/CloudsDashModel.lua
CloudsDash.Model.CloudsDashModel	CloudsDashLevelData	table_or_enum_candidate		691	code/Lua/decompiled/CloudsDash/Model/CloudsDashModel.lua
Common.Event.EventDispatcher	EventDispatcher	table_or_enum_candidate		1	code/Lua/decompiled/Common/Event/EventDispatcher.lua
Common.Event.PairEvent	PairEvent	table_or_enum_candidate		1	code/Lua/decompiled/Common/Event/PairEvent.lua
Common.Utility.PlayerPrefs	PlayerPrefs	prototype		2	code/Lua/decompiled/Common/Utility/PlayerPrefs.lua
Common.Utility.PositionUtil	PositionUtil	table_or_enum_candidate		1	code/Lua/decompiled/Common/Utility/PositionUtil.lua
Common.Utility.Scheduler	Scheduler	table_or_enum_candidate		1	code/Lua/decompiled/Common/Utility/Scheduler.lua
Common.Utility.Scheduler	SchedulerUnit	table_or_enum_candidate		138	code/Lua/decompiled/Common/Utility/Scheduler.lua
Common.Utility.StringUtil	StringUtil	table_or_enum_candidate		1	code/Lua/decompiled/Common/Utility/StringUtil.lua
Common.Utility.Table	Table	table_or_enum_candidate		1	code/Lua/decompiled/Common/Utility/Table.lua
Common.Utility.TimeUtil	TimeUtil	table_or_enum_candidate		1	code/Lua/decompiled/Common/Utility/TimeUtil.lua
Common.Utility.TimeUtil	ETimeFormat	table_or_enum_candidate		4	code/Lua/decompiled/Common/Utility/TimeUtil.lua
Common.Utility.TimeUtil	ETimeUnits	table_or_enum_candidate		11	code/Lua/decompiled/Common/Utility/TimeUtil.lua
Common.Utility.Vector	Vector	table_or_enum_candidate		1	code/Lua/decompiled/Common/Utility/Vector.lua
Drop.Board.DropActivityBoard	DropActivityBoard	table_or_enum_candidate		1	code/Lua/decompiled/Drop/Board/DropActivityBoard.lua
Drop.Board.DropActivityItemFactory	DropActivityItemFactory	table_or_enum_candidate		1	code/Lua/decompiled/Drop/Board/DropActivityItemFactory.lua
Drop.Model.DropModel	DropModel	prototype	BaseActivityModel	1	code/Lua/decompiled/Drop/Model/DropModel.lua
FreefallActivity.Board.BoardPromptFreefall	FreefallBoardPromptType	table_or_enum_candidate		1	code/Lua/decompiled/FreefallActivity/Board/BoardPromptFreefall.lua
FreefallActivity.Board.BoardPromptFreefall	BoardPromptFreefallMergeItems	prototype	BoardPromptMergeItems	2	code/Lua/decompiled/FreefallActivity/Board/BoardPromptFreefall.lua
FreefallActivity.Board.BoardPromptFreefall	BoardPromptFreefallCollectMaxLevelActivityItems	prototype	BoardPrompt	11	code/Lua/decompiled/FreefallActivity/Board/BoardPromptFreefall.lua
FreefallActivity.Board.FreefallActivityBoardModel	FreefallHandleItemFailedReason	table_or_enum_candidate		1	code/Lua/decompiled/FreefallActivity/Board/FreefallActivityBoardModel.lua
FreefallActivity.Board.FreefallActivityBoardModel	FreefallActivitySpecialItemType	table_or_enum_candidate		8	code/Lua/decompiled/FreefallActivity/Board/FreefallActivityBoardModel.lua
FreefallActivity.Board.FreefallActivityBoardModel	FreefallActivityBoardModel	prototype		13	code/Lua/decompiled/FreefallActivity/Board/FreefallActivityBoardModel.lua
FreefallActivity.Board.FreefallActivityBoardView	FreefallActivityBoardView	prototype	BaseUIBoardView	1	code/Lua/decompiled/FreefallActivity/Board/FreefallActivityBoardView.lua
FreefallActivity.Board.FreefallActivityItemLayerModel	FreefallActivityItemLayerModel	prototype	BaseUIBoardItemLayerModel	1	code/Lua/decompiled/FreefallActivity/Board/FreefallActivityItemLayerModel.lua
FreefallActivity.Model.FreefallActivityModel	FreefallActivityModel	prototype	BaseActivityModel	1	code/Lua/decompiled/FreefallActivity/Model/FreefallActivityModel.lua
HuntMapActivity.Board.BoardPromptHuntMap	BoardPromptHuntMapPriority	table_or_enum_candidate		8	code/Lua/decompiled/HuntMapActivity/Board/BoardPromptHuntMap.lua
HuntMapActivity.Board.BoardPromptHuntMap	BoardPromptHuntMapMergeItems	prototype	BoardPromptMergeItems	15	code/Lua/decompiled/HuntMapActivity/Board/BoardPromptHuntMap.lua
HuntMapActivity.Board.BoardPromptHuntMap	BoardPormptHuntMapPopCache	prototype	BoardPrompt	107	code/Lua/decompiled/HuntMapActivity/Board/BoardPromptHuntMap.lua
HuntMapActivity.Board.BoardPromptHuntMap	BoardPromptHuntMapCollect	prototype	BoardPrompt	133	code/Lua/decompiled/HuntMapActivity/Board/BoardPromptHuntMap.lua
HuntMapActivity.Board.BoardPromptHuntMap	BoardPromptHuntMapBubble	prototype	BoardPromptHuntMapCollect	173	code/Lua/decompiled/HuntMapActivity/Board/BoardPromptHuntMap.lua
