caller_rva,caller_type,caller_signature,caller_native_file,ghidra_call_target,callee_rva,callee_name_candidates,callee_alias_count,callee_selected_type,callee_selected_signature,callee_native_status,call_occurrences_in_pseudocode
0x322716C,SummerWatermelonModel,public SummerWatermelonThirtyFourPackageConfig GetCurrentPackage() { },code/Ghidra_native_pseudocode/322716c.c,0x3248F88,0x3238F88,Activity.SummerWatermelon_34.SummerWatermelonModel$$RefreshNexTime,1,SummerWatermelonModel,private void RefreshNexTime(ulong endTime) { },decompiled_rebased_without_autoanalysis,1
0x322716C,SummerWatermelonModel,public SummerWatermelonThirtyFourPackageConfig GetCurrentPackage() { },code/Ghidra_native_pseudocode/322716c.c,0x3249218,0x3239218,Activity.SummerWatermelon_34.SummerWatermelonModel$$GetShopId,1,SummerWatermelonModel,private int GetShopId() { },decompiled_rebased_without_autoanalysis,1
0x322716C,SummerWatermelonModel,public SummerWatermelonThirtyFourPackageConfig GetCurrentPackage() { },code/Ghidra_native_pseudocode/322716c.c,0x3249398,0x3239398,Activity.SummerWatermelon_34.SummerWatermelonModel$$IsPackageOpened,1,SummerWatermelonModel,public bool IsPackageOpened(SummerWatermelonThirtyFourPackageConfig config) { },decompiled_rebased_without_autoanalysis,1
0x32275EC,SummerWatermelonModel,public string GetPackageLeftTimeText(SummerWatermelonThirtyFourPackageConfig curPackage) { },code/Ghidra_native_pseudocode/32275ec.c,0x324988C,0x323988C,Activity.SummerWatermelon_34.SummerWatermelonModel$$GetPackageLeftTime,1,SummerWatermelonModel,public ulong GetPackageLeftTime(SummerWatermelonThirtyFourPackageConfig curPackage) { },decompiled_rebased_without_autoanalysis,1
0x3227C3C,SummerWatermelonModel,public bool CanShowNewPackageGift() { },code/Ghidra_native_pseudocode/3227c3c.c,0x323C5D0,0x322C5D0,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_StorageSummerWatermelon,1,SummerWatermelonModel,public StorageSummerWatermelonFifteen get_StorageSummerWatermelon() { },decompiled_rebased_without_autoanalysis,1
0x3227C3C,SummerWatermelonModel,public bool CanShowNewPackageGift() { },code/Ghidra_native_pseudocode/3227c3c.c,0x32499CC,0x32399CC,Activity.SummerWatermelon_34.SummerWatermelonModel$$GetNewPackageLeftTime,1,SummerWatermelonModel,public ulong GetNewPackageLeftTime() { },decompiled_rebased_without_autoanalysis,1
0x3227E24,SummerWatermelonModel,public string GetNewPackageLeftTimeText() { },code/Ghidra_native_pseudocode/3227e24.c,0x32499CC,0x32399CC,Activity.SummerWatermelon_34.SummerWatermelonModel$$GetNewPackageLeftTime,1,SummerWatermelonModel,public ulong GetNewPackageLeftTime() { },decompiled_rebased_without_autoanalysis,1
0x32298CC,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/32298cc.c,0x2BD2CF0,0x2BC2CF0,MergeManager$$SetNewBoardItem,1,MergeManager,"public void SetNewBoardItem(int index, int id, int state, RefreshItemSource source, MergeBoardEnum boardId, int oldIndex = -1, bool isDispatchEvent = True, int oldId = -1, int existTime = 0) { }",decompiled_rebased_without_autoanalysis,1
0x32298CC,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/32298cc.c,0x2BDD790,0x2BCD790,MergeManager$$FindEmptyGrid,1,MergeManager,"public int FindEmptyGrid(int index, MergeBoardEnum boardId, bool ignoreSelf = False) { }",decompiled_rebased_without_autoanalysis,1
0x32298CC,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/32298cc.c,0x2E651CC,0x2E551CC,Gameplay.UserData$$IsResource,1,UserData,public bool IsResource(int resourceId) { },decompiled_rebased_without_autoanalysis,1
0x32298CC,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/32298cc.c,0x3239DBC,0x3229DBC,Activity.SummerWatermelon_34.SummerWatermelonModel$$GetRewardsOnMerge,1,SummerWatermelonModel,public List<int> GetRewardsOnMerge(TableMergeItem mergeNewConfig) { },decompiled_rebased_without_autoanalysis,1
0x32298CC,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/32298cc.c,0x323A1D0,0x322A1D0,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_UnSetRewards,1,SummerWatermelonModel,public StorageList<int> get_UnSetRewards() { },decompiled_rebased_without_autoanalysis,1
0x32298CC,SummerWatermelonMergeBoard1,"public override TableMergeItem MergeToProductActivity(int index, TableMergeItem newConfig, TableMergeItem oldConfig) { }",code/Ghidra_native_pseudocode/32298cc.c,0x323A23C,0x322A23C,Activity.SummerWatermelon_34.SummerWatermelonModel$$get_MainView,1,SummerWatermelonModel,public static UIPopupSummerWatermelonMainController get_MainView() { },decompiled_rebased_without_autoanalysis,1
