source_file,namespace,type,typedef_index,declaration_with_inheritance_and_interfaces,dumper_block
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass125_0,4870,private sealed class SummerWatermelonModel.<>c__DisplayClass125_0 // TypeDefIndex: 4870,code/Il2CppDumper_type_signatures/04870.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_0,4871,private sealed class SummerWatermelonModel.<>c__DisplayClass52_0 // TypeDefIndex: 4871,code/Il2CppDumper_type_signatures/04871.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass52_1,4872,private sealed class SummerWatermelonModel.<>c__DisplayClass52_1 // TypeDefIndex: 4872,code/Il2CppDumper_type_signatures/04872.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass56_0,4873,private sealed class SummerWatermelonModel.<>c__DisplayClass56_0 // TypeDefIndex: 4873,code/Il2CppDumper_type_signatures/04873.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass95_0,4874,private sealed class SummerWatermelonModel.<>c__DisplayClass95_0 // TypeDefIndex: 4874,code/Il2CppDumper_type_signatures/04874.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass96_0,4875,private sealed class SummerWatermelonModel.<>c__DisplayClass96_0 // TypeDefIndex: 4875,code/Il2CppDumper_type_signatures/04875.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__95,4876,private struct SummerWatermelonModel.<OnNewItem>d__95 : IAsyncStateMachine // TypeDefIndex: 4876,code/Il2CppDumper_type_signatures/04876.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_7/SummerWatermelonModel.cs,Activity.SummerWatermelon_7,SummerWatermelonModel,4877,public class SummerWatermelonModel : ActivityEntityBase // TypeDefIndex: 4877,code/Il2CppDumper_type_signatures/04877.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_32/SummerWatermelonMergeBoard1.cs,Activity.SummerWatermelon_32,SummerWatermelonMergeBoard1,4910,public class SummerWatermelonMergeBoard1 : MergeBoard // TypeDefIndex: 4910,code/Il2CppDumper_type_signatures/04910.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_32/SummerWatermelonMergeBoard2.cs,Activity.SummerWatermelon_32,SummerWatermelonMergeBoard2,4911,public class SummerWatermelonMergeBoard2 : MergeBoard // TypeDefIndex: 4911,code/Il2CppDumper_type_signatures/04911.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_32/SummerWatermelonMergeBoard3.cs,Activity.SummerWatermelon_32,SummerWatermelonMergeBoard3,4912,public class SummerWatermelonMergeBoard3 : MergeBoard // TypeDefIndex: 4912,code/Il2CppDumper_type_signatures/04912.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_32/SummerWatermelonMergeBoard4.cs,Activity.SummerWatermelon_32,SummerWatermelonMergeBoard4,4913,public class SummerWatermelonMergeBoard4 : MergeBoard // TypeDefIndex: 4913,code/Il2CppDumper_type_signatures/04913.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c,4914,private sealed class SummerWatermelonModel.<>c // TypeDefIndex: 4914,code/Il2CppDumper_type_signatures/04914.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass142_0,4915,private sealed class SummerWatermelonModel.<>c__DisplayClass142_0 // TypeDefIndex: 4915,code/Il2CppDumper_type_signatures/04915.txt
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<>c__DisplayClass170_0,4916,private sealed class SummerWatermelonModel.<>c__DisplayClass170_0 // TypeDefIndex: 4916,code/Il2CppDumper_type_signatures/04916.txt
