source_file,namespace,type,typedef_index,field_declaration_and_offset
code/AssetRipper_generated_CSharp/Assembly-CSharp/SummerWatermelonModel.cs,,SummerWatermelonModel.<OnNewItem>d__87,5170,private TaskAwaiter<bool> <>u__2; // 0x28
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,public static bool InGuideChain; // 0x0
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,public const int BOARD_WIDTH = 6;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,public const int BOARD_HEIGHT = 14;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,private static SummerWatermelonModel _instance; // 0x4
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,"private Dictionary<int, SummerWatermelonThirtyOneProductConfig> _summerWatermelonProductConfig; // 0x3C"
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,"private Dictionary<int, SummerWatermelonThirtyOneFirstTimeRewardConfig> _summerWatermelonFirstTimeRewardConfig; // 0x40"
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,"private Dictionary<int, SummerWatermelonThirtyOneMergeRewardConfig> _summerWatermelonMergeRewardConfig; // 0x44"
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,"private Dictionary<int, TableMergeItem> _mergeItemDictionary; // 0x48"
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,public int UnSetItemsCount; // 0x4C
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,public const ulong Offset = 0;
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,private bool _isInit; // 0x50
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,private static GameObject _flyItemObj; // 0x8
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,private bool _lastActivityOpenState; // 0x51
code/AssetRipper_generated_CSharp/Assembly-CSharp/Activity/SummerWatermelon_31/SummerWatermelonModel.cs,Activity.SummerWatermelon_31,SummerWatermelonModel,5171,private bool <ShowIllustratedRedPoint>k__BackingField; // 0x52
