assembly,type_file,source_file,line,namespace,kind,name,declaration,role
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/AutoMergeSettings.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/AutoMergeSettings.cs,7,Code.GameLogic.GameEvents,class,AutoMergeSettings,public class AutoMergeSettings : GameConfigKeyValue<AutoMergeSettings>,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/BoardActionRequirements.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/BoardActionRequirements.cs,10,Code.GameLogic.GameEvents,class,BoardActionRequirements,public class BoardActionRequirements,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/BoardActionType.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/BoardActionType.cs,7,Code.GameLogic.GameEvents,enum,BoardActionType,public enum BoardActionType,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/BoardCell.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/BoardCell.cs,7,Code.GameLogic.GameEvents,class,BoardCell,public class BoardCell,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/BoardInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/BoardInfo.cs,21,Code.GameLogic.GameEvents,class,BoardInfo,"public class BoardInfo : IGameConfigData<MergeBoardId>, IGameConfigData, IHasGameConfigKey<MergeBoardId>",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/BubbleBonusInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/BubbleBonusInfo.cs,8,Code.GameLogic.GameEvents,class,BubbleBonusInfo,public class BubbleBonusInfo,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/CollectibleBoardEventId.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/CollectibleBoardEventId.cs,7,Code.GameLogic.GameEvents,class,CollectibleBoardEventId,public class CollectibleBoardEventId : StringId<CollectibleBoardEventId>,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/CollectibleBoardEventInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/CollectibleBoardEventInfo.cs,29,Code.GameLogic.GameEvents,class,CollectibleBoardEventInfo,"public class CollectibleBoardEventInfo : IMetaActivableConfigData<CollectibleBoardEventId>, IMetaActivableConfigData, IGameConfigData, IMetaActivableInfo, IGameConfigData<CollectibleBoardEventId>, IHasGameConfigKey<CollectibleBoardEventId>, IMetaActivableInfo<CollectibleBoardEventId>, ILevelBoardEventInfo, ILevelEventInfo, IBoardEventInfo, IHasRequirement, IBubbleBonusEvent, IEventSharedInfo, IPrioritizedEvent, IVisibilityStrategy<CollectibleBoardEventId, CollectibleBoardEventInfo, CollectibleBoardEventModel>",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/CollectibleBoardEventModel.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/CollectibleBoardEventModel.cs,22,Code.GameLogic.GameEvents,class,CollectibleBoardEventModel,"public class CollectibleBoardEventModel : ExtendableEventState<CollectibleBoardEventId, CollectibleBoardEventInfo>, ILevelBoardEventModel, ILevelEventModel, IBoardEventModel, IPointsEvent, IGroupIdGetter",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/CollectibleBoardEventSetupMergeBoardResultType.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/CollectibleBoardEventSetupMergeBoardResultType.cs,3,Code.GameLogic.GameEvents,enum,CollectibleBoardEventSetupMergeBoardResultType,public enum CollectibleBoardEventSetupMergeBoardResultType,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/CollectibleBoardEventSource.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/CollectibleBoardEventSource.cs,19,Code.GameLogic.GameEvents,class,CollectibleBoardEventSource,"public class CollectibleBoardEventSource : IConfigItemSource<CollectibleBoardEventInfo, CollectibleBoardEventId>, IGameConfigSourceItem<CollectibleBoardEventId, CollectibleBoardEventInfo>, IHasGameConfigKey<CollectibleBoardEventId>",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/CollectibleBoardEventUtilities.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/CollectibleBoardEventUtilities.cs,9,Code.GameLogic.GameEvents,class,CollectibleBoardEventUtilities,public static class CollectibleBoardEventUtilities,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/CollectibleBoardEventValidator.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/CollectibleBoardEventValidator.cs,11,Code.GameLogic.GameEvents,class,CollectibleBoardEventValidator,public class CollectibleBoardEventValidator : IValidatable,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/DigEventBoardData.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/DigEventBoardData.cs,6,Code.GameLogic.GameEvents,struct,DigEventBoardData,public struct DigEventBoardData,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/DigEventBoardId.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/DigEventBoardId.cs,7,Code.GameLogic.GameEvents,class,DigEventBoardId,public class DigEventBoardId : StringId<DigEventBoardId>,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/DigEventBoards.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/DigEventBoards.cs,14,Code.GameLogic.GameEvents,class,DigEventBoards,"public class DigEventBoards : IGameConfigData<DigEventBoardId>, IGameConfigData, IHasGameConfigKey<DigEventBoardId>, IValidatable",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/DigEventBoardsSource.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/DigEventBoardsSource.cs,9,Code.GameLogic.GameEvents,class,DigEventBoardsSource,"public class DigEventBoardsSource : IConfigItemSource<DigEventBoards, DigEventBoardId>, IGameConfigSourceItem<DigEventBoardId, DigEventBoards>, IHasGameConfigKey<DigEventBoardId>",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/DigEventItemId.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/DigEventItemId.cs,7,Code.GameLogic.GameEvents,class,DigEventItemId,public class DigEventItemId : StringId<DigEventItemId>,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/DigEventItemInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/DigEventItemInfo.cs,9,Code.GameLogic.GameEvents,class,DigEventItemInfo,"public class DigEventItemInfo : IGameConfigData<DigEventItemId>, IGameConfigData, IHasGameConfigKey<DigEventItemId>",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/DigEventItemSource.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/DigEventItemSource.cs,7,Code.GameLogic.GameEvents,class,DigEventItemSource,"public class DigEventItemSource : IConfigItemSource<DigEventItemInfo, DigEventItemId>, IGameConfigSourceItem<DigEventItemId, DigEventItemInfo>, IHasGameConfigKey<DigEventItemId>",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/DigEventTreasureItem.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/DigEventTreasureItem.cs,8,Code.GameLogic.GameEvents,class,DigEventTreasureItem,public class DigEventTreasureItem,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/EventCurrencyId.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/EventCurrencyId.cs,7,Code.GameLogic.GameEvents,class,EventCurrencyId,public class EventCurrencyId : StringId<EventCurrencyId>,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/EventTaskConfigSourceItem.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/EventTaskConfigSourceItem.cs,9,Code.GameLogic.GameEvents,class,EventTaskConfigSourceItem,"public class EventTaskConfigSourceItem : IConfigItemSource<EventTaskInfo, EventTaskId>, IGameConfigSourceItem<EventTaskId, EventTaskInfo>, IHasGameConfigKey<EventTaskId>",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/EventTaskId.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/EventTaskId.cs,7,Code.GameLogic.GameEvents,class,EventTaskId,public class EventTaskId : StringId<EventTaskId>,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/EventTaskInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/EventTaskInfo.cs,18,Code.GameLogic.GameEvents,class,EventTaskInfo,"public class EventTaskInfo : IGameConfigData<EventTaskId>, IGameConfigData, IHasGameConfigKey<EventTaskId>, IValidatable",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/EventTasksExtensions.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/EventTasksExtensions.cs,7,Code.GameLogic.GameEvents,class,EventTasksExtensions,public static class EventTasksExtensions,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/GarageCleanupBoardId.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/GarageCleanupBoardId.cs,7,Code.GameLogic.GameEvents,class,GarageCleanupBoardId,public class GarageCleanupBoardId : StringId<GarageCleanupBoardId>,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/GarageCleanupBoardInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/GarageCleanupBoardInfo.cs,7,Code.GameLogic.GameEvents,class,GarageCleanupBoardInfo,public class GarageCleanupBoardInfo,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/GarageCleanupBoardRowId.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/GarageCleanupBoardRowId.cs,7,Code.GameLogic.GameEvents,struct,GarageCleanupBoardRowId,public struct GarageCleanupBoardRowId : IEquatable<GarageCleanupBoardRowId>,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/GarageCleanupBoardRowInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/GarageCleanupBoardRowInfo.cs,10,Code.GameLogic.GameEvents,class,GarageCleanupBoardRowInfo,"public class GarageCleanupBoardRowInfo : IGameConfigData<GarageCleanupBoardRowId>, IGameConfigData, IHasGameConfigKey<GarageCleanupBoardRowId>",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/GarageCleanupBoardRowSource.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/GarageCleanupBoardRowSource.cs,7,Code.GameLogic.GameEvents,class,GarageCleanupBoardRowSource,"public class GarageCleanupBoardRowSource : IConfigItemSource<GarageCleanupBoardRowInfo, GarageCleanupBoardRowId>, IGameConfigSourceItem<GarageCleanupBoardRowId, GarageCleanupBoardRowInfo>, IHasGameConfigKey<GarageCleanupBoardRowId>",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/GarageCleanupEventBoardModel.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/GarageCleanupEventBoardModel.cs,8,Code.GameLogic.GameEvents,class,GarageCleanupEventBoardModel,public class GarageCleanupEventBoardModel,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/GarageCleanupEventBoardRowModel.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/GarageCleanupEventBoardRowModel.cs,8,Code.GameLogic.GameEvents,class,GarageCleanupEventBoardRowModel,public class GarageCleanupEventBoardRowModel,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/GarageCleanupEventBoardSlotModel.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/GarageCleanupEventBoardSlotModel.cs,6,Code.GameLogic.GameEvents,class,GarageCleanupEventBoardSlotModel,public class GarageCleanupEventBoardSlotModel,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/GarageCleanupEventSourceConfigItem.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/GarageCleanupEventSourceConfigItem.cs,12,Code.GameLogic.GameEvents,class,GarageCleanupEventSourceConfigItem,"public class GarageCleanupEventSourceConfigItem : IConfigItemSource<GarageCleanupEventInfo, GarageCleanupEventId>, IGameConfigSourceItem<GarageCleanupEventId, GarageCleanupEventInfo>, IHasGameConfigKey<GarageCleanupEventId>",活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/IBoardEventInfo.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/IBoardEventInfo.cs,13,Code.GameLogic.GameEvents,interface,IBoardEventInfo,public interface IBoardEventInfo : IHasRequirement,活动棋盘与扩展玩法
Metacore.MergeMansion.SharedLogic,Code/GameLogic/GameEvents/IBoardEventModel.cs,source/AssetRipper/Metacore.MergeMansion.SharedLogic/Code/GameLogic/GameEvents/IBoardEventModel.cs,14,Code.GameLogic.GameEvents,interface,IBoardEventModel,public interface IBoardEventModel,活动棋盘与扩展玩法
