typedef_index,image,namespace,type_name,declaration,selection_reason,generated_csharp_file,metadata_block_file,arm64_file,method_count,native_rva_count,ghidra_method_count,generic_native_instantiation_count,generated_csharp_sha256,bounded_method_count
221,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemAppearedSignal,public sealed class ItemAppearedSignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemAppearedSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000221.txt,native_arm64/TravelTown.Main/000221_ItemAppearedSignal.s,5,5,1,0,bc59c741b2932e4ab8019a7294e612e185668737285fd8667a17b57aab9f45a6,0
222,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemCreatedFirstTimeSignal,public class ItemCreatedFirstTimeSignal : MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemCreatedFirstTimeSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000222.txt,native_arm64/TravelTown.Main/000222_ItemCreatedFirstTimeSignal.s,2,2,0,0,a661e3874c8b0ab773919b5b49aaef4d45c5d65e92b10a5fceb293d12dd3161e,0
223,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemDequeuedSignal,public class ItemDequeuedSignal : MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemDequeuedSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000223.txt,native_arm64/TravelTown.Main/000223_ItemDequeuedSignal.s,3,3,0,0,96df0ef706d39c5757d1fd4f097bf8b6a8c9cf9af60eb8c4e49f7d970c3c2a1b,0
224,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemDiscoveredFirstTimeSignal,public class ItemDiscoveredFirstTimeSignal : MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemDiscoveredFirstTimeSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000224.txt,native_arm64/TravelTown.Main/000224_ItemDiscoveredFirstTimeSignal.s,1,1,0,0,5d245b31d584f770d57b10567c79df2ffa29e5119947aa1d754a5f9e6a40d6ab,0
225,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemExpiredSignal,public sealed class ItemExpiredSignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemExpiredSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000225.txt,native_arm64/TravelTown.Main/000225_ItemExpiredSignal.s,5,5,1,0,9f843208a1f244d07967008141701957402cea1f06c360de87608e42ff721716,0
226,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemQueuedSignal,public class ItemQueuedSignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemQueuedSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000226.txt,native_arm64/TravelTown.Main/000226_ItemQueuedSignal.s,11,11,0,0,e374f3be18fca3bed72956fb5b6b41e405d7bc3db32ba5d1d2aad041e249eca2,0
227,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemReadyForUndoSignal,public class ItemReadyForUndoSignal : MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemReadyForUndoSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000227.txt,native_arm64/TravelTown.Main/000227_ItemReadyForUndoSignal.s,1,1,0,0,963a5c0035acbbf0ff399b0b9584699b10f2aca5000d3aa24c838c9cf36e342c,0
228,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemSoldSignal,public class ItemSoldSignal : MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemSoldSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000228.txt,native_arm64/TravelTown.Main/000228_ItemSoldSignal.s,2,2,0,0,8a51d24351ac4c34ee31196574dc56eeca509cfa80cf1b1a4783cfc311f52c59,0
229,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemsUnlockFinishedSignal,public class ItemsUnlockFinishedSignal : MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemsUnlockFinishedSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000229.txt,native_arm64/TravelTown.Main/000229_ItemsUnlockFinishedSignal.s,1,1,0,0,7ffdf7d750aba7cbb081e3663cc6e76771f054a3a790f5d21c4de5405f199080,0
230,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemUndoCompleteSignal,public class ItemUndoCompleteSignal,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemUndoCompleteSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000230.txt,native_arm64/TravelTown.Main/000230_ItemUndoCompleteSignal.s,2,2,0,0,f04e5941244c96e2d4f687db0dceb25e349efd6692161822db0a7de7e4610fa8,0
231,TravelTown.Main.dll,MergeEngine.Signal.Items,ItemUnlockStartedSignal,public class ItemUnlockStartedSignal : MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/ItemUnlockStartedSignal.cs,metadata_blocks/TravelTown.Main/TypeDef_000231.txt,native_arm64/TravelTown.Main/000231_ItemUnlockStartedSignal.s,1,1,0,0,ce25205ad5358fea4744cf1dec91ea80ecf82fd781ecd8af8fc8685a99f588a9,0
232,TravelTown.Main.dll,MergeEngine.Signal.Items,MergeItemBubbleSignalBase,public class MergeItemBubbleSignalBase : MergeItemSignalBase,物品流程信号,generated_csharp/TravelTown.Main/MergeEngine/Signal/Items/MergeItemBubbleSignalBase.cs,metadata_blocks/TravelTown.Main/TypeDef_000232.txt,native_arm64/TravelTown.Main/000232_MergeItemBubbleSignalBase.s,4,4,0,0,b34af9d87d8fbb89b219b3f6b278801beef86f38a82204096202b79c7d265fa2,0
