caller_rva,caller_type_indices,callee_rva,callee_type_index,callee_namespace,callee_type,callee_signature,callee_selected
0x67089F4,8931,0x662B038,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public IMergeItem GetItem(int slotIndex) { },True
0x67089F4,8931,0x662B0E8,8288,Merger.Game.ViewModel,InventoryItemsViewModel,public string GetItemUUID(int slotIndex) { },True
0x67089F4,8931,0x662B710,8288,Merger.Game.ViewModel,InventoryItemsViewModel,"public AssetReferenceT<Sprite> GetItemAsset(int slotIndex, InventorySlotType type) { }",True
0x67089F4,8931,0x67074A4,8930,Merger.Game.Views.Inventory,InventoryItemSlotView,public void set_Asset(AssetReferenceT<Sprite> value) { },True
0x6708C00,8931,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6708D88,8931,0x6707220,8930,Merger.Game.Views.Inventory,InventoryItemSlotView,public void remove_TryRemove(Action<int> value) { },True
0x6708E64,8931,0x6707898,8931,Merger.Game.Views.Inventory,InventoryItemsView,private void ShowInventory() { },True
0x6708F0C,8931,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6709270,8932,0x67093A4,8932,Merger.Game.Views.Inventory,InventoryProducerSlotView,private Animator get_Animator() { },True
0x6709270,8932,0x671A194,9040,Merger.Game.Views.Components,MergeItemView,protected Sprite get_EmptyIconSprite() { },True
0x6709270,8932,0x671A290,9040,Merger.Game.Views.Components,MergeItemView,public virtual void set_MergeItem(IMergeItem value) { },True
0x670945C,8932,0x67093A4,8932,Merger.Game.Views.Inventory,InventoryProducerSlotView,private Animator get_Animator() { },True
0x6709674,8933,0x662BD90,8289,Merger.Game.ViewModel,InventoryProducerViewModel,public ReadOnlyCollection<IMergeItem> get_UnlockedProducerSlotItems() { },True
0x67096E8,8933,0x3BC70A8,10424,Framework.Core,Base,Framework.Core.Base$$SubscribeToSignal<object>,True
0x6709828,8933,0x3BC74C4,10424,Framework.Core,Base,Framework.Core.Base$$UnsubscribeFromSignal<object>,True
0x6709828,8933,0x6709970,8933,Merger.Game.Views.Inventory,InventoryProducerView,private void ClearInventory() { },True
0x6709970,8933,0x68AAF28,10428,Framework.Core.View,ViewComponent,public RectTransform get_RectTransform() { },True
0x6709D8C,8933,0x662BBDC,8289,Merger.Game.ViewModel,InventoryProducerViewModel,public List<ProducerInventorySlotViewData> get_UnlocksAtItems() { },True
0x6709D8C,8933,0x662BD90,8289,Merger.Game.ViewModel,InventoryProducerViewModel,public ReadOnlyCollection<IMergeItem> get_UnlockedProducerSlotItems() { },True
