Caller	CallerRVA	CalleeRVA	Il2CppDumperCalleeName	CalleeSignature	PseudocodeFile
BoardData.GetItemBubbleData	1915508	18CCB18	MergePuzzle.ItemInfoExtension$$ToItemInfo	MergePuzzle_ItemInfo_o MergePuzzle_ItemInfoExtension__ToItemInfo (MergePuzzle_ItemEntity_o* itemEntity, bool convertToSetID, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetItemJellyPrice	1915544	1913588	MergePuzzle.BoardItemDictionaryHandler$$TryGetValue	bool MergePuzzle_BoardItemDictionaryHandler__TryGetValue (MergePuzzle_BoardItemDictionaryHandler_o* __this, int32_t setID, MergePuzzle_BoardItemSetData_o** setData, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetItemJellyPrice	1915544	1BAAC8C	MergePuzzle.KiteModelBalanceConfig$$GetBalanceConfig	MergePuzzle_BalanceValues_o* MergePuzzle_KiteModelBalanceConfig__GetBalanceConfig (const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetItemJellyPrice	1915544	2AC71F8	System.Collections.Generic.List<int>$$get_Item	int32_t System_Collections_Generic_List_int___get_Item (System_Collections_Generic_List_int__o* __this, int32_t index, const MethodInfo_2AC71F8* method);	ghidra_data_pseudocode.c
BoardData.GetItemJellyPrice	1915544	2AFAF9C	System.Collections.Generic.List<object>$$get_Item	Il2CppObject* System_Collections_Generic_List_object___get_Item (System_Collections_Generic_List_object__o* __this, int32_t index, const MethodInfo_2AFAF9C* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemData	1915778	191362C	MergePuzzle.BoardData$$GetBoardItemData	MergePuzzle_BoardItemData_o* MergePuzzle_BoardData__GetBoardItemData (MergePuzzle_BoardData_o* __this, int32_t setID, int32_t level, bool skipWarning, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemData	191362C	1912730	MergePuzzle.ItemLinkScriptableData$$GetItemSet	MergePuzzle_ItemLinkScriptableData_ItemLinkScriptableSetData_o* MergePuzzle_ItemLinkScriptableData__GetItemSet (MergePuzzle_ItemLinkScriptableData_o* __this, int32_t setId, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemData	191362C	2AFB99C	System.Collections.Generic.List<object>$$Find	Il2CppObject* System_Collections_Generic_List_object___Find (System_Collections_Generic_List_object__o* __this, System_Predicate_T__o* match, const MethodInfo_2AFB99C* method);	ghidra_data_pseudocode.c
BoardData.GetBoardItemData	191362C	2E41FAC	System.Predicate<object>$$.ctor	void System_Predicate_object____ctor (System_Predicate_object__o* __this, Il2CppObject* object, intptr_t method, const MethodInfo_2E41FAC* method);	ghidra_data_pseudocode.c
BoardData.GetAllSets	1915C54	1915DD4	MergePuzzle.BoardItemDictionaryHandler$$TryGetBalanceBoardItemDictionary	bool MergePuzzle_BoardItemDictionaryHandler__TryGetBalanceBoardItemDictionary (MergePuzzle_BoardItemDictionaryHandler_o* __this, Paxie_SerializableDictionary_int__BoardItemSetData__o** boardDic, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetAllSets	1915C54	1915F3C	MergePuzzle.BoardItemDictionaryHandler$$get_RemoteBoardItemDictionaries	System_Collections_Generic_List_SerializableDictionary_int__BoardItemSetData___o* MergePuzzle_BoardItemDictionaryHandler__get_RemoteBoardItemDictionaries (MergePuzzle_BoardItemDictionaryHandler_o* __this, const MethodInfo* method);	ghidra_data_pseudocode.c
BoardData.GetAllSets	1915C54	2AFA9F0	System.Collections.Generic.List<object>$$.ctor	void System_Collections_Generic_List_object____ctor (System_Collections_Generic_List_object__o* __this, const MethodInfo_2AFA9F0* method);	ghidra_data_pseudocode.c
BoardData.GetAllSets	1915C54	2AFB494	System.Collections.Generic.List<object>$$AddRange	void System_Collections_Generic_List_object___AddRange (System_Collections_Generic_List_object__o* __this, System_Collections_Generic_IEnumerable_T__o* collection, const MethodInfo_2AFB494* method);	ghidra_data_pseudocode.c
BoardData.GetAllSets	1915C54	2AFBF88	System.Collections.Generic.List<object>$$GetEnumerator	System_Collections_Generic_List_Enumerator_T__o System_Collections_Generic_List_object___GetEnumerator (System_Collections_Generic_List_object__o* __this, const MethodInfo_2AFBF88* method);	ghidra_data_pseudocode.c
BoardData.GetAllSets	1915C54	2FBF37C	Paxie.SerializableDictionary<int, object>$$get_Values	System_Collections_Generic_ICollection_TValue__o* Paxie_SerializableDictionary_int__object___get_Values (Paxie_SerializableDictionary_TKey__TValue__o* __this, const MethodInfo_2FBF37C* method);	ghidra_data_pseudocode.c
