TypeDefIndex	Namespace	Type	Kind	Declaration	AssetRipperFile	ScopeReason	Il2CppDumperBlock	FieldCount	MethodCount
972		MiniBoardProgressionExtraEntity.	class	private sealed class MiniBoardProgressionExtraEntity.<>c__DisplayClass31_0 // TypeDefIndex: 972	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionExtraEntity.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00972_MiniBoardProgressionExtraEntity..txt	1	2
973	Paxie.MergeStudio.Features.RecurringEvents.MiniBoardProgression	MiniBoardProgressionExtraEntity	class	public class MiniBoardProgressionExtraEntity : IMiniBoardEntity // TypeDefIndex: 973	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionExtraEntity.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00973_MiniBoardProgressionExtraEntity.txt	8	25
975	Paxie.MergeStudio.Features.RecurringEvents.MiniBoardProgression	MiniBoardProgressionMergedRewards	class	public class MiniBoardProgressionMergedRewards // TypeDefIndex: 975	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionMergedRewards.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00975_MiniBoardProgressionMergedRewards.txt	2	1
976		MiniBoardProgressionHandler.	class	private sealed class MiniBoardProgressionHandler.<>c // TypeDefIndex: 976	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionHandler.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00976_MiniBoardProgressionHandler..txt	5	6
977		MiniBoardProgressionHandler.	class	private sealed class MiniBoardProgressionHandler.<>c__DisplayClass36_0 // TypeDefIndex: 977	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionHandler.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00977_MiniBoardProgressionHandler..txt	1	2
978	Paxie.MergeStudio.Features.RecurringEvents.MiniBoardProgression	MiniBoardProgressionHandler	class	public class MiniBoardProgressionHandler : MiniBoardHandler<MiniBoardProgressionConfig> // TypeDefIndex: 978	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionHandler.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00978_MiniBoardProgressionHandler.txt	3	59
979	Paxie.MergeStudio.Features.RecurringEvents.MiniBoardProgression	MiniBoardProgressionController	class	public class MiniBoardProgressionController : BaseMiniBoardController, IEventReceiver<BaseMiniBoardProgressEvent.ProgressItemFoundRaiseKey>, IEventReceiverBase, IEventReceiver<BaseMiniBoardProgressEvent.BoardNoticePopupClosed>, IEventReceiver<BaseMiniBoardProgressEvent.BoardCongratsPopupClosed> // TypeDefIndex: 979	Paxie/MergeStudio/Features/RecurringEvents/MiniBoardProgression/MiniBoardProgressionController.cs	活动二合棋盘进程	code/Il2CppDumper/type_blocks/00979_MiniBoardProgressionController.txt	12	28
1022	Paxie.MergeStudio.Features.MiniBoard	KiteMiniBoardInitialBoardModel	class	public class KiteMiniBoardInitialBoardModel // TypeDefIndex: 1022	Paxie/MergeStudio/Features/MiniBoard/KiteMiniBoardInitialBoardModel.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01022_KiteMiniBoardInitialBoardModel.txt	3	1
1023	Paxie.MergeStudio.Features.MiniBoard	KiteMiniBoardItemReward	class	public class KiteMiniBoardItemReward // TypeDefIndex: 1023	Paxie/MergeStudio/Features/MiniBoard/KiteMiniBoardItemReward.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01023_KiteMiniBoardItemReward.txt	4	1
1024	Paxie.MergeStudio.Features.MiniBoard	KiteMiniBoardItemMergeReward	class	public class KiteMiniBoardItemMergeReward // TypeDefIndex: 1024	Paxie/MergeStudio/Features/MiniBoard/KiteMiniBoardItemMergeReward.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01024_KiteMiniBoardItemMergeReward.txt	2	1
1025	Paxie.MergeStudio.Features.MiniBoard	MiniBoardConfig	class	public abstract class MiniBoardConfig<T> : RecurringEventConfig<MiniBoardAddressableBase> // TypeDefIndex: 1025	Paxie/MergeStudio/Features/MiniBoard/MiniBoardConfig.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01025_MiniBoardConfig.txt	0	0
1026	Paxie.MergeStudio.Features.MiniBoard	MiniBoardEventData	class	public abstract class MiniBoardEventData : RecurringEventData // TypeDefIndex: 1026	Paxie/MergeStudio/Features/MiniBoard/MiniBoardEventData.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01026_MiniBoardEventData.txt	0	1
1027	Paxie.MergeStudio.Features.MiniBoard	IMiniBoardEntity	interface	public interface IMiniBoardEntity // TypeDefIndex: 1027	Paxie/MergeStudio/Features/MiniBoard/IMiniBoardEntity.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01027_IMiniBoardEntity.txt	0	0
1028	Paxie.MergeStudio.Features.MiniBoard	MiniBoardAreaEntity	class	public class MiniBoardAreaEntity // TypeDefIndex: 1028	Paxie/MergeStudio/Features/MiniBoard/MiniBoardAreaEntity.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01028_MiniBoardAreaEntity.txt	2	5
1029	Paxie.MergeStudio.Features.MiniBoard	MiniBoardType	enum	public enum MiniBoardType // TypeDefIndex: 1029	Paxie/MergeStudio/Features/MiniBoard/MiniBoardType.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01029_MiniBoardType.txt	1	0
1030	Paxie.MergeStudio.Features.MiniBoard	MiniBoardHandler	class	public abstract class MiniBoardHandler<T> : MiniBoardHandlerBase // TypeDefIndex: 1030	Paxie/MergeStudio/Features/MiniBoard/MiniBoardHandler.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01030_MiniBoardHandler.txt	1	0
1031		MiniBoardHandlerBase.	class	private sealed class MiniBoardHandlerBase.<>c // TypeDefIndex: 1031	Paxie/MergeStudio/Features/MiniBoard/MiniBoardHandlerBase.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01031_MiniBoardHandlerBase..txt	2	3
1032	Paxie.MergeStudio.Features.MiniBoard	MiniBoardHandlerBase	class	public abstract class MiniBoardHandlerBase : RecurringEventHandlerBase, ISpawnerEnergyConsumeBaseHandler, IEventPointsOnBoardTaskHandler, IFeatureHandler, IMiniBoardHomeIconHandler, IHomeIconHandler, IBoardItemHandler, IPurchaseRewardAreaHandler // TypeDefIndex: 1032	Paxie/MergeStudio/Features/MiniBoard/MiniBoardHandlerBase.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01032_MiniBoardHandlerBase.txt	3	53
1035		BaseMiniBoardEvent.InitializeBoard	struct	public struct BaseMiniBoardEvent.InitializeBoard : IEvent // TypeDefIndex: 1035	Paxie/MergeStudio/Features/MiniBoard/BaseMiniBoardEvent.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01035_BaseMiniBoardEvent.InitializeBoard.txt	2	0
1036		BaseMiniBoardEvent.ChangeGameplayStatus	struct	public struct BaseMiniBoardEvent.ChangeGameplayStatus : IEvent // TypeDefIndex: 1036	Paxie/MergeStudio/Features/MiniBoard/BaseMiniBoardEvent.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01036_BaseMiniBoardEvent.ChangeGameplayStatus.txt	1	0
1037		BaseMiniBoardEvent.Move	struct	public struct BaseMiniBoardEvent.Move : IEvent // TypeDefIndex: 1037	Paxie/MergeStudio/Features/MiniBoard/BaseMiniBoardEvent.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01037_BaseMiniBoardEvent.Move.txt	2	0
1038		BaseMiniBoardEvent.Swap	struct	public struct BaseMiniBoardEvent.Swap : IEvent // TypeDefIndex: 1038	Paxie/MergeStudio/Features/MiniBoard/BaseMiniBoardEvent.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01038_BaseMiniBoardEvent.Swap.txt	2	0
1039		BaseMiniBoardEvent.MergeStart	struct	public struct BaseMiniBoardEvent.MergeStart : IEvent // TypeDefIndex: 1039	Paxie/MergeStudio/Features/MiniBoard/BaseMiniBoardEvent.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01039_BaseMiniBoardEvent.MergeStart.txt	3	0
1040		BaseMiniBoardEvent.Merge	struct	public struct BaseMiniBoardEvent.Merge : IEvent // TypeDefIndex: 1040	Paxie/MergeStudio/Features/MiniBoard/BaseMiniBoardEvent.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01040_BaseMiniBoardEvent.Merge.txt	3	0
1041		BaseMiniBoardEvent.MergeCompleted	struct	public struct BaseMiniBoardEvent.MergeCompleted : IEvent // TypeDefIndex: 1041	Paxie/MergeStudio/Features/MiniBoard/BaseMiniBoardEvent.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01041_BaseMiniBoardEvent.MergeCompleted.txt	1	0
1042		BaseMiniBoardEvent.RevertMove	struct	public struct BaseMiniBoardEvent.RevertMove : IEvent // TypeDefIndex: 1042	Paxie/MergeStudio/Features/MiniBoard/BaseMiniBoardEvent.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01042_BaseMiniBoardEvent.RevertMove.txt	2	0
1043		BaseMiniBoardEvent.DestroyFromBoard	struct	public struct BaseMiniBoardEvent.DestroyFromBoard : IEvent // TypeDefIndex: 1043	Paxie/MergeStudio/Features/MiniBoard/BaseMiniBoardEvent.cs	活动二合棋盘	code/Il2CppDumper/type_blocks/01043_BaseMiniBoardEvent.DestroyFromBoard.txt	2	0
