type,signature,reason
FAT.IOrderHelper,public abstract int get_ActiveOrderCount();,Il2CppDumper RVA = -1; no native address
FAT.IOrderHelper,public abstract void set_ActiveOrderCount(int value);,Il2CppDumper RVA = -1; no native address
FAT.IOrderHelper,"public abstract Dictionary<int, int> get_RequireItemTargetCountDict();",Il2CppDumper RVA = -1; no native address
FAT.IOrderHelper,"public abstract Dictionary<int, int> get_NpcInUseCountDict();",Il2CppDumper RVA = -1; no native address
FAT.UIBase,protected T AddModule<T>(T module) { },Il2CppDumper RVA = -1; no native address
FAT.IBoardEntry,public abstract string BoardEntryAsset();,Il2CppDumper RVA = -1; no native address
FAT.IActivitySlider,public abstract string SliderPrefabAsset();,Il2CppDumper RVA = -1; no native address
FAT.IBoardFlyMultiplier,public abstract int get_BoardFlyMultiplier();,Il2CppDumper RVA = -1; no native address
FAT.IBoardFlyMultiplier,public abstract void OnBoardFlyStart();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeGrid,public abstract int get_gridTid();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IMergeGrid,public abstract Area get_area();,Il2CppDumper RVA = -1; no native address
FAT.Merge.Board,public Item FindAnyNormalItemByComponent<T>() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.Board,private void _NotifyItemComponents<T>(Action<T> notifier) { },Il2CppDumper RVA = -1; no native address
FAT.Merge.IDisposeBonusHandler,public abstract int get_priority();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IDisposeBonusHandler,public abstract void Process(DisposeBonusContext context);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IDisposeBonusHandler,public abstract void OnRegister();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IDisposeBonusHandler,public abstract void OnUnRegister();,Il2CppDumper RVA = -1; no native address
FAT.Merge.Inventory,public T GetBagMetaInfo<T>(int bagId) { },Il2CppDumper RVA = -1; no native address
FAT.Merge.InventoryBag,public T GetMetaInfo<T>() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.Item,public void FillAllEffects<T>(List<T> container) { },Il2CppDumper RVA = -1; no native address
FAT.Merge.Item,"public bool TryGetItemComponent<T>(out T ret, bool includeDisable = False) { }",Il2CppDumper RVA = -1; no native address
FAT.Merge.Item,public void WalkAllComponents<T>(Action<T> walker) { },Il2CppDumper RVA = -1; no native address
FAT.Merge.Item,public T GetItemComponent<T>(bool includeDisable = False) { },Il2CppDumper RVA = -1; no native address
FAT.Merge.Item,public T RemoveItemComponent<T>() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.Item,private T _AddItemComponent<T>() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.Item,"private static T _GetCachedComponentRef<T>(T component, bool includeDisable) { }",Il2CppDumper RVA = -1; no native address
FAT.Merge.IComponentEventsEffectChange,public abstract void OnEffectChanged(SpeedEffect effect);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IComponentEventsItemMove,public abstract void OnItemMove();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IComponentEventsItemStatusChange,public abstract void onItemStatusChange();,Il2CppDumper RVA = -1; no native address
FAT.Merge.IEffectReceiver,public abstract bool WillReceiveEffect(SpeedEffect effect);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IExternalOutput,public abstract bool CanUseItem(Item source);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IExternalOutput,"public abstract bool TrySpawnItem(Item source, out int outputId, out ItemSpawnContext context);",Il2CppDumper RVA = -1; no native address
FAT.Merge.IItemComponentPool,public abstract void Free(ItemComponentBase com);,Il2CppDumper RVA = -1; no native address
FAT.Merge.IItemComponentPool,public abstract ItemComponentBase AllocByType();,Il2CppDumper RVA = -1; no native address
FAT.Merge.ItemComponentPool,public ItemComponentBase AllocByType() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.ItemComponentPool,public T Alloc() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.ItemComponentPool,public void Free(ItemComponentBase com) { },Il2CppDumper RVA = -1; no native address
FAT.Merge.ItemComponentPool,public void .ctor() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.ItemComponentTable,public static T CreateComponent<T>() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.ItemComponentTable,private static ItemComponentPool<T> _GetPool<T>() { },Il2CppDumper RVA = -1; no native address
FAT.Merge.ItemComponentTable,"private static void _RegisterItemComponent<T>(ItemComponentType type, ItemComponentTable.SerializeDeltaFunc serializeDeltaFunc, ItemComponentTable.ValidateFunc validateFunction) { }",Il2CppDumper RVA = -1; no native address
FAT.Merge.ItemSourceComponentBase,"protected abstract void OnInitOutputSet(Dictionary<int, int> container);",Il2CppDumper RVA = -1; no native address
